anuradhapura,jaffna,nuwaraeliya,year,month
108.700002148747,86.6999986693263,143.599998950958,2017,1
39.4999999776483,25.6000003814697,81.8999993801117,2017,2
141.499998189509,119.599999621511,204.29999794066,2017,3
116.000001907349,54.6,71.5000002384186,2017,4
224.09999859333,29.5999992564321,167.699998773634,2017,5
8.59999990463257,10.80000038445,56.399999961257,2017,6
11.3,12.69,39.19,2017,7
148.299996376038,70.000000834465,127.800000049174,2017,8
112.700002625585,91.3000004068017,161.800002582371,2017,9
224.100002467632,183.999996997416,207.500000573695,2017,10
420.899997003376,611.699999578297,289.599997490644,2017,11
73.9999993145466,100.599999658763,156.299999073148,2017,12
19.3999996185303,14.5999999046326,95.3999961689115,2018,1
37.600000679493,20.9000007659197,57.200001001358,2018,2
59.0999998599291,48.5999988093972,79.1000010445714,2018,3
148.499999716878,18.5000002384186,216.099999785423,2018,4
224.700000226498,102.89999794215,363.099997520447,2018,5
2.30000001192093,22.0,125.499998956919,2018,6
14.15,0.2,171.5,2018,7
26.0000003352761,27.0000007227063,264.899997778237,2018,8
89.3000004813075,62.500000551343,157.300002872944,2018,9
529.199999406934,297.699997164309,402.699998274446,2018,10
193.199997581542,373.300006918609,179.199997529387,2018,11
121.399999141693,132.600000724196,61.1000004783273,2018,12
90.45,12.5,55.0000000298023,2019,1
87.5000023469329,5.89999985694885,50.1000008285046,2019,2
100.6,3.20000004768372,9.40000009536743,2019,3
155.700002975762,36.4000002145767,112.900001257658,2019,4
3.90000009536743,105.6,63.8999988362193,2019,5
0.200000002980232,21.7000007629395,91.1000004336238,2019,6
1.49,89.3,224.9,2019,7
96.3000011220574,83.0999992638826,188.199997678399,2019,8
79.7000005766749,172.700001597404,150.0,2019,9
258.599997289479,445.999998360872,348.19999974966,2019,10
347.50000423193,292.199999049306,343.799998164177,2019,11
293.300000086427,225.299999184906,241.79999872297,2019,12
11.3999999836087,23.2000001072884,33.9999999180436,2020,1
35.6000008136034,17.5999996215105,39.6000000536442,2020,2
13.6999998092651,32.5,13.2999995723367,2020,3
148.199996598065,30.7000001966953,72.8000008016825,2020,4
205.999998867512,39.8999999761581,287.799999646842,2020,5
13.6000003814697,2.69999996572733,103.500001437962,2020,6
169.3,118.49,93.4,2020,7
38.9999993592501,33.1999994292855,308.699998855591,2020,8
45.5999999716878,212.59999704361,191.600002810359,2020,9
39.3000003397465,23.2999998703599,107.500000178814,2020,10
301.30000603199,339.700003221631,110.600001789629,2020,11
239.200002253056,872.900003045797,203.200000837445,2020,12
168.600000753999,317.499999977648,91.4000005573034,2021,1
18.8000001013279,15.3000000119209,59.1999998018146,2021,2
40.4999993145466,1.60000000149012,108.700003221631,2021,3
131.000000551343,110.400001361966,107.200000107288,2021,4
90.5999994203448,95.4000015929341,273.19999871403,2021,5
3.0000000372529,50.400001168251,111.300000734627,2021,6
72.09,56.99,199.6,2021,7
106.19999859482,8.30000016838312,119.199998803437,2021,8
132.600003123283,54.700001001358,158.500002063811,2021,9
281.499996677041,390.699994809926,387.500000685453,2021,10
413.599999547005,752.399996347725,241.399998754263,2021,11
74.8999999165535,189.600001350045,78.600000038743,2021,12
73.1000012904406,181.199997775257,36.8000003993511,2022,1
70.8000006079674,108.299999713898,35.8999998345971,2022,2
90.1000000014901,18.5000000298023,47.2999996840954,2022,3
440.999996900558,185.099999859929,242.700000151992,2022,4
125.0,10.3000001907349,243.199999012053,2022,5
13.6999995708466,5.30000001192093,47.3000006303191,2022,6
87.1,73.09,193.8,2022,7
55.0000010728836,94.9999982118607,293.39999756217,2022,8
41.0999991446733,2.80000004917383,70.9999983385205,2022,9
169.200002238154,479.399999395013,385.299996294081,2022,10
207.100000917912,263.200001470745,89.5999995917082,2022,11
310.199996650219,201.799997627735,141.400001466274,2022,12
